event_id,occurred_at,system_id,system_type,component,host,metric_name,metric_value,metric_unit,severity,reported_at
EVT-000001203,2026-01-23T19:57:57.2329200Z,SYS-0388,cache,dispatcher,node-03,mem_usage,12647,MB,INFO,2026-01-23T19:58:17.2329200Z
EVT-000001204,2026-01-25T16:50:05.2329540Z,SYS-0174,cache,ingest,node-49,mem_usage,7693,MB,INFO,2026-01-25T16:50:32.2329540Z
EVT-000001205,2026-01-23T03:00:54.2329640Z,SYS-0137,api,ingest,node-27,latency_ms,215.2,ms,INFO,2026-01-23T03:01:06.2329640Z
EVT-000001206,2026-01-22T19:28:42.2329670Z,SYS-0454,cache,ingest,node-31,mem_usage,12638,MB,INFO,2026-01-22T19:29:06.2329670Z
EVT-000001207,2026-01-22T12:42:26.2329710Z,SYS-0469,worker,sync,node-43,mem_usage,4680,MB,INFO,2026-01-22T12:42:32.2329710Z
EVT-000001208,2026-01-24T17:54:50.2329740Z,SYS-0357,worker,sync,node-10,mem_usage,5758,MB,INFO,2026-01-24T17:55:16.2329740Z
EVT-000001209,2026-01-24T16:13:01.2329770Z,SYS-0387,cache,dispatcher,node-16,mem_usage,15227,MB,INFO,2026-01-24T16:13:20.2329770Z
EVT-000001210,2026-01-24T08:50:40.2329810Z,SYS-0195,worker,auth,node-24,queue_depth,4339,count,INFO,2026-01-24T08:51:09.2329810Z
EVT-000001211,2026-01-23T17:00:44.2329870Z,SYS-0091,cache,auth,node-03,latency_ms,528.3,ms,INFO,2026-01-23T17:00:48.2329870Z
EVT-000001212,2026-01-20T10:48:55.2329910Z,SYS-0191,worker,dispatcher,node-21,queue_depth,1921,count,INFO,2026-01-20T10:49:17.2329910Z
EVT-000001213,2026-01-23T13:51:43.2329930Z,SYS-0211,cache,dispatcher,node-18,mem_usage,10377,MB,INFO,2026-01-23T13:51:57.2329930Z
EVT-000001214,2026-01-23T04:26:33.2329970Z,SYS-0449,db,sync,node-03,latency_ms,282.4,ms,INFO,2026-01-23T04:26:58.2329970Z
EVT-000001215,2026-01-20T05:15:17.2330000Z,SYS-0474,worker,auth,node-25,cpu_usage,32.51,%,INFO,2026-01-20T05:15:29.2330000Z
EVT-000001216,2026-01-20T18:15:11.2330030Z,SYS-0222,cache,dispatcher,node-42,queue_depth,4682,count,INFO,2026-01-20T18:15:11.2330030Z
EVT-000001217,2026-01-23T05:33:08.2330060Z,SYS-0197,worker,auth,node-38,cpu_usage,9.87,%,INFO,2026-01-23T05:33:34.2330060Z
EVT-000001218,2026-01-26T04:04:50.2330090Z,SYS-0210,db,auth,node-09,latency_ms,671.4,ms,INFO,2026-01-26T04:04:55.2330090Z
EVT-000001219,2026-01-22T20:21:49.2330120Z,SYS-0429,cache,sync,node-14,mem_usage,15195,MB,INFO,2026-01-22T20:21:52.2330120Z
EVT-000001220,2026-01-21T08:19:06.2330170Z,SYS-0436,worker,dispatcher,node-28,mem_usage,21663,MB,INFO,2026-01-21T08:19:34.2330170Z
EVT-000001221,2026-01-21T11:23:12.2330200Z,SYS-0395,worker,ingest,node-30,cpu_usage,77.38,%,WARN,2026-01-21T11:23:38.2330200Z
EVT-000001222,2026-01-23T06:22:21.2330230Z,SYS-0443,api,auth,node-28,cpu_usage,79.33,%,WARN,2026-01-23T06:22:21.2330230Z
EVT-000001223,2026-01-22T17:45:17.2330260Z,SYS-0345,db,dispatcher,node-33,mem_usage,21338,MB,INFO,2026-01-22T17:45:45.2330260Z
EVT-000001224,2026-01-23T16:29:57.2330300Z,SYS-0386,cache,dispatcher,node-31,cpu_usage,94.97,%,ERROR,2026-01-23T16:30:19.2330300Z
EVT-000001225,2026-01-26T14:58:34.2330330Z,SYS-0365,api,sync,node-20,latency_ms,824.1,ms,WARN,2026-01-26T14:58:35.2330330Z
EVT-000001226,2026-01-20T11:55:25.2330360Z,SYS-0078,db,sync,node-12,mem_usage,2540,MB,INFO,2026-01-20T11:55:26.2330360Z
EVT-000001227,2026-01-23T16:32:40.2330390Z,SYS-0425,cache,dispatcher,node-32,queue_depth,818,count,INFO,2026-01-23T16:32:44.2330390Z
EVT-000001228,2026-01-21T23:35:00.2330420Z,SYS-0419,db,dispatcher,node-09,latency_ms,308.4,ms,INFO,2026-01-21T23:35:26.2330420Z
EVT-000001229,2026-01-25T14:47:00.2330470Z,SYS-0322,worker,dispatcher,node-48,mem_usage,5898,MB,INFO,2026-01-25T14:47:04.2330470Z
EVT-000001230,2026-01-23T06:24:46.2330500Z,SYS-0328,cache,ingest,node-43,mem_usage,13681,MB,INFO,2026-01-23T06:25:07.2330500Z
EVT-000001231,2026-01-26T12:42:36.2330530Z,SYS-0496,cache,dispatcher,node-12,cpu_usage,82.99,%,WARN,2026-01-26T12:42:52.2330530Z
EVT-000001232,2026-01-26T04:09:03.2330560Z,SYS-0343,api,ingest,node-03,queue_depth,4556,count,INFO,2026-01-26T04:09:31.2330560Z
EVT-000001233,2026-01-22T23:38:28.2330590Z,SYS-0420,worker,ingest,node-03,cpu_usage,93.57,%,ERROR,2026-01-22T23:38:48.2330590Z
EVT-000001234,2026-01-21T02:16:51.2330620Z,SYS-0340,db,dispatcher,node-36,queue_depth,3125,count,INFO,2026-01-21T02:17:03.2330620Z
EVT-000001235,2026-01-21T20:35:12.2330660Z,SYS-0085,api,auth,node-03,mem_usage,16526,MB,INFO,2026-01-21T20:35:35.2330660Z
EVT-000001236,2026-01-24T03:26:47.2330690Z,SYS-0117,worker,sync,node-10,queue_depth,891,count,INFO,2026-01-24T03:27:09.2330690Z
EVT-000001237,2026-01-23T21:10:31.2330740Z,SYS-0400,db,auth,node-38,latency_ms,783.3,ms,INFO,2026-01-23T21:10:31.2330740Z
EVT-000001238,2026-01-20T18:13:14.2330770Z,SYS-0125,api,ingest,node-20,latency_ms,574.9,ms,INFO,2026-01-20T18:13:15.2330770Z
EVT-000001239,2026-01-23T12:29:35.2330810Z,SYS-0186,api,dispatcher,node-29,queue_depth,446,count,INFO,2026-01-23T12:29:45.2330810Z
EVT-000001240,2026-01-26T17:12:08.2330840Z,SYS-0369,cache,dispatcher,node-48,queue_depth,1998,count,INFO,2026-01-26T17:12:23.2330840Z
EVT-000001241,2026-01-23T00:24:02.2330870Z,SYS-0148,api,dispatcher,node-05,queue_depth,515,count,INFO,2026-01-23T00:24:21.2330870Z
EVT-000001242,2026-01-20T23:27:40.2330900Z,SYS-0326,api,dispatcher,node-17,latency_ms,565.7,ms,INFO,2026-01-20T23:28:05.2330900Z
EVT-000001243,2026-01-27T02:34:56.2330940Z,SYS-0172,api,dispatcher,node-24,mem_usage,27676,MB,INFO,2026-01-27T02:35:17.2330940Z
