event_id,occurred_at,system_id,system_type,component,host,metric_name,metric_value,metric_unit,severity,reported_at
EVT-000001762,2026-01-21T08:30:53.2374950Z,SYS-0421,db,auth,node-41,mem_usage,8878,MB,INFO,2026-01-21T08:30:58.2374950Z
EVT-000001763,2026-01-23T20:28:48.2375180Z,SYS-0175,api,auth,node-04,latency_ms,539.3,ms,INFO,2026-01-23T20:29:14.2375180Z
EVT-000001764,2026-01-24T23:42:40.2375320Z,SYS-0372,cache,sync,node-39,latency_ms,642,ms,INFO,2026-01-24T23:43:06.2375320Z
EVT-000001765,2026-01-20T18:33:43.2375390Z,SYS-0349,api,auth,node-02,mem_usage,27506,MB,INFO,2026-01-20T18:33:47.2375390Z
EVT-000001766,2026-01-20T14:55:14.2375440Z,SYS-0056,worker,ingest,node-23,mem_usage,943,MB,INFO,2026-01-20T14:55:21.2375440Z
EVT-000001767,2026-01-21T18:11:12.2375480Z,SYS-0348,db,ingest,node-32,queue_depth,4535,count,INFO,2026-01-21T18:11:38.2375480Z
EVT-000001768,2026-01-20T15:21:14.2375540Z,SYS-0398,cache,ingest,node-31,latency_ms,543.4,ms,INFO,2026-01-20T15:21:26.2375540Z
EVT-000001769,2026-01-21T23:37:56.2375590Z,SYS-0113,api,auth,node-11,cpu_usage,76.87,%,WARN,2026-01-21T23:38:11.2375590Z
EVT-000001770,2026-01-24T01:33:24.2375630Z,SYS-0078,api,dispatcher,node-18,queue_depth,127,count,INFO,2026-01-24T01:33:45.2375630Z
EVT-000001771,2026-01-25T14:41:15.2375670Z,SYS-0436,api,auth,node-17,latency_ms,1014.2,ms,WARN,2026-01-25T14:41:38.2375670Z
EVT-000001772,2026-01-24T23:15:58.2375700Z,SYS-0156,api,auth,node-27,cpu_usage,31.95,%,INFO,2026-01-24T23:16:20.2375700Z
EVT-000001773,2026-01-27T01:22:41.2375760Z,SYS-0280,api,auth,node-11,latency_ms,1097.7,ms,WARN,2026-01-27T01:23:07.2375760Z
EVT-000001774,2026-01-26T02:15:44.2375820Z,SYS-0457,api,sync,node-30,latency_ms,638.7,ms,INFO,2026-01-26T02:16:07.2375820Z
EVT-000001775,2026-01-23T03:32:54.2375850Z,SYS-0220,cache,ingest,node-33,mem_usage,19770,MB,INFO,2026-01-23T03:33:10.2375850Z
EVT-000001776,2026-01-25T03:11:33.2375890Z,SYS-0491,worker,dispatcher,node-05,queue_depth,998,count,INFO,2026-01-25T03:11:58.2375890Z
EVT-000001777,2026-01-21T04:59:26.2375930Z,SYS-0369,api,dispatcher,node-26,latency_ms,361.3,ms,INFO,2026-01-21T04:59:30.2375930Z
EVT-000001778,2026-01-21T07:10:41.2375970Z,SYS-0071,api,sync,node-38,cpu_usage,60.94,%,INFO,2026-01-21T07:11:07.2375970Z
EVT-000001779,2026-01-23T19:00:18.2376000Z,SYS-0494,worker,auth,node-16,queue_depth,3275,count,INFO,2026-01-23T19:00:46.2376000Z
EVT-000001780,2026-01-24T19:57:06.2376050Z,SYS-0313,db,auth,node-26,latency_ms,1413.1,ms,ERROR,2026-01-24T19:57:27.2376050Z
EVT-000001781,2026-01-20T09:33:49.2376110Z,SYS-0391,db,dispatcher,node-37,queue_depth,3141,count,INFO,2026-01-20T09:33:55.2376110Z
EVT-000001782,2026-01-24T13:25:57.2376150Z,SYS-0025,db,ingest,node-04,cpu_usage,78.06,%,WARN,2026-01-24T13:26:07.2376150Z
EVT-000001783,2026-01-25T01:43:19.2376180Z,SYS-0254,api,auth,node-05,cpu_usage,93.81,%,ERROR,2026-01-25T01:43:21.2376180Z
EVT-000001784,2026-01-24T22:17:37.2376220Z,SYS-0360,cache,dispatcher,node-07,cpu_usage,34.81,%,INFO,2026-01-24T22:17:43.2376220Z
EVT-000001785,2026-01-25T07:08:43.2376250Z,SYS-0427,db,dispatcher,node-27,latency_ms,158.3,ms,INFO,2026-01-25T07:08:53.2376250Z
EVT-000001786,2026-01-21T18:04:28.2376290Z,SYS-0250,cache,sync,node-47,cpu_usage,41.68,%,INFO,2026-01-21T18:04:52.2376290Z
EVT-000001787,2026-01-22T20:40:16.2376320Z,SYS-0147,cache,auth,node-40,latency_ms,382.6,ms,INFO,2026-01-22T20:40:39.2376320Z
EVT-000001788,2026-01-25T18:39:42.2376360Z,SYS-0166,cache,auth,node-39,queue_depth,4206,count,INFO,2026-01-25T18:40:03.2376360Z
EVT-000001789,2026-01-22T23:02:00.2376390Z,SYS-0139,worker,auth,node-24,latency_ms,1254.8,ms,ERROR,2026-01-22T23:02:12.2376390Z
EVT-000001790,2026-01-20T13:11:34.2376460Z,SYS-0370,db,ingest,node-10,queue_depth,1747,count,INFO,2026-01-20T13:11:43.2376460Z
EVT-000001791,2026-01-24T15:00:45.2376490Z,SYS-0032,api,dispatcher,node-07,mem_usage,16846,MB,INFO,2026-01-24T15:01:03.2376490Z
EVT-000001792,2026-01-22T17:59:07.2376530Z,SYS-0045,api,auth,node-48,cpu_usage,49,%,INFO,2026-01-22T17:59:26.2376530Z
EVT-000001793,2026-01-20T06:52:35.2376560Z,SYS-0349,db,ingest,node-41,cpu_usage,32.34,%,INFO,2026-01-20T06:52:48.2376560Z
EVT-000001794,2026-01-26T17:33:18.2376590Z,SYS-0134,db,auth,node-05,queue_depth,2120,count,INFO,2026-01-26T17:33:47.2376590Z
EVT-000001795,2026-01-24T09:06:26.2376620Z,SYS-0418,db,ingest,node-32,cpu_usage,11.38,%,INFO,2026-01-24T09:06:48.2376620Z
EVT-000001796,2026-01-24T20:24:16.2376660Z,SYS-0475,db,sync,node-32,queue_depth,3168,count,INFO,2026-01-24T20:24:23.2376660Z
EVT-000001797,2026-01-26T06:58:40.2376690Z,SYS-0052,cache,sync,node-10,queue_depth,656,count,INFO,2026-01-26T06:59:02.2376690Z
EVT-000001798,2026-01-20T13:39:34.2376730Z,SYS-0053,worker,dispatcher,node-35,mem_usage,9003,MB,INFO,2026-01-20T13:39:53.2376730Z
EVT-000001799,2026-01-22T15:09:46.2376790Z,SYS-0063,api,auth,node-18,latency_ms,12.7,ms,INFO,2026-01-22T15:10:04.2376790Z
EVT-000001800,2026-01-21T05:47:06.2376820Z,SYS-0070,cache,dispatcher,node-28,latency_ms,538.8,ms,INFO,2026-01-21T05:47:24.2376820Z
EVT-000001801,2026-01-25T00:45:38.2376850Z,SYS-0137,cache,dispatcher,node-36,latency_ms,1330.2,ms,ERROR,2026-01-25T00:45:59.2376850Z
EVT-000001802,2026-01-24T21:19:31.2376880Z,SYS-0293,cache,ingest,node-32,cpu_usage,67.44,%,INFO,2026-01-24T21:19:51.2376880Z
EVT-000001803,2026-01-23T19:52:27.2376920Z,SYS-0338,db,ingest,node-19,mem_usage,31682,MB,INFO,2026-01-23T19:52:30.2376920Z
EVT-000001804,2026-01-21T07:34:38.2376950Z,SYS-0141,cache,auth,node-38,mem_usage,18676,MB,INFO,2026-01-21T07:35:00.2376950Z
EVT-000001805,2026-01-22T00:42:22.2376980Z,SYS-0261,api,sync,node-31,mem_usage,7571,MB,INFO,2026-01-22T00:42:29.2376980Z
EVT-000001806,2026-01-24T05:58:29.2377010Z,SYS-0464,worker,dispatcher,node-40,mem_usage,1065,MB,INFO,2026-01-24T05:58:42.2377010Z
EVT-000001807,2026-01-26T05:52:58.2377060Z,SYS-0292,api,dispatcher,node-10,latency_ms,718.2,ms,INFO,2026-01-26T05:53:06.2377060Z
EVT-000001808,2026-01-24T02:34:31.2377090Z,SYS-0172,cache,sync,node-03,latency_ms,833.1,ms,WARN,2026-01-24T02:34:31.2377090Z
EVT-000001809,2026-01-24T06:32:59.2377120Z,SYS-0061,cache,auth,node-48,mem_usage,23448,MB,INFO,2026-01-24T06:33:12.2377120Z
EVT-000001810,2026-01-22T19:12:40.2377160Z,SYS-0492,worker,sync,node-04,cpu_usage,65.51,%,INFO,2026-01-22T19:12:47.2377160Z
EVT-000001811,2026-01-20T20:10:00.2377190Z,SYS-0225,db,auth,node-04,queue_depth,3205,count,INFO,2026-01-20T20:10:01.2377190Z
EVT-000001812,2026-01-24T07:29:02.2377230Z,SYS-0049,api,sync,node-19,latency_ms,1032.2,ms,WARN,2026-01-24T07:29:13.2377230Z
EVT-000001813,2026-01-25T20:59:51.2377260Z,SYS-0496,cache,ingest,node-35,latency_ms,679.7,ms,INFO,2026-01-25T21:00:16.2377260Z
EVT-000001814,2026-01-26T11:48:27.2377300Z,SYS-0384,worker,auth,node-29,cpu_usage,11.38,%,INFO,2026-01-26T11:48:47.2377300Z
EVT-000001815,2026-01-24T20:08:57.2377330Z,SYS-0136,api,ingest,node-12,mem_usage,12145,MB,INFO,2026-01-24T20:09:11.2377330Z
EVT-000001816,2026-01-22T10:43:43.2377410Z,SYS-0435,api,dispatcher,node-06,mem_usage,2085,MB,INFO,2026-01-22T10:43:52.2377410Z
EVT-000001817,2026-01-24T16:13:37.2377440Z,SYS-0426,api,auth,node-22,latency_ms,1406.7,ms,ERROR,2026-01-24T16:13:37.2377440Z
EVT-000001818,2026-01-26T23:51:09.2377480Z,SYS-0206,worker,sync,node-13,mem_usage,10933,MB,INFO,2026-01-26T23:51:09.2377480Z
EVT-000001819,2026-01-27T03:30:41.2377510Z,SYS-0019,db,auth,node-30,cpu_usage,20.97,%,INFO,2026-01-27T03:30:59.2377510Z
EVT-000001820,2026-01-24T06:20:14.2377540Z,SYS-0212,api,dispatcher,node-42,queue_depth,342,count,INFO,2026-01-24T06:20:35.2377540Z
EVT-000001821,2026-01-22T09:27:34.2377580Z,SYS-0378,cache,ingest,node-47,latency_ms,1002.1,ms,WARN,2026-01-22T09:27:44.2377580Z
EVT-000001822,2026-01-26T19:26:44.2377610Z,SYS-0411,db,dispatcher,node-03,cpu_usage,12.98,%,INFO,2026-01-26T19:27:00.2377610Z
EVT-000001823,2026-01-25T14:39:51.2377640Z,SYS-0018,cache,auth,node-42,latency_ms,135.3,ms,INFO,2026-01-25T14:40:11.2377640Z
EVT-000001824,2026-01-24T03:35:29.2377660Z,SYS-0034,worker,auth,node-39,cpu_usage,51.79,%,INFO,2026-01-24T03:35:39.2377660Z
EVT-000001825,2026-01-27T00:04:44.2377720Z,SYS-0447,db,sync,node-26,queue_depth,408,count,INFO,2026-01-27T00:04:55.2377720Z
EVT-000001826,2026-01-23T04:10:28.2377760Z,SYS-0457,cache,dispatcher,node-24,mem_usage,30828,MB,INFO,2026-01-23T04:10:38.2377760Z
EVT-000001827,2026-01-21T19:46:24.2377790Z,SYS-0077,worker,dispatcher,node-36,latency_ms,864.8,ms,WARN,2026-01-21T19:46:44.2377790Z
EVT-000001828,2026-01-25T13:01:19.2377830Z,SYS-0345,api,dispatcher,node-28,queue_depth,4537,count,INFO,2026-01-25T13:01:28.2377830Z
EVT-000001829,2026-01-20T13:13:19.2377860Z,SYS-0085,worker,auth,node-23,queue_depth,2720,count,INFO,2026-01-20T13:13:47.2377860Z
EVT-000001830,2026-01-24T23:08:22.2377890Z,SYS-0413,db,dispatcher,node-10,mem_usage,24636,MB,INFO,2026-01-24T23:08:25.2377890Z
EVT-000001831,2026-01-24T16:42:59.2377930Z,SYS-0435,db,ingest,node-41,queue_depth,3592,count,INFO,2026-01-24T16:43:08.2377930Z
EVT-000001832,2026-01-22T01:53:04.2377960Z,SYS-0412,cache,dispatcher,node-27,cpu_usage,47.58,%,INFO,2026-01-22T01:53:04.2377960Z
