event_id,occurred_at,system_id,system_type,component,host,metric_name,metric_value,metric_unit,severity,reported_at
EVT-000003276,2026-01-22T15:05:25.2510710Z,SYS-0268,cache,sync,node-09,queue_depth,2647,count,INFO,2026-01-22T15:05:38.2510710Z
EVT-000003277,2026-01-25T12:36:03.2510870Z,SYS-0374,api,dispatcher,node-30,queue_depth,4250,count,INFO,2026-01-25T12:36:28.2510870Z
EVT-000003278,2026-01-25T03:58:16.2510920Z,SYS-0223,api,sync,node-10,mem_usage,5541,MB,INFO,2026-01-25T03:58:41.2510920Z
EVT-000003279,2026-01-21T14:21:55.2510960Z,SYS-0138,cache,dispatcher,node-27,cpu_usage,10.36,%,INFO,2026-01-21T14:22:21.2510960Z
EVT-000003280,2026-01-23T08:54:31.2511060Z,SYS-0128,db,sync,node-49,queue_depth,482,count,INFO,2026-01-23T08:54:40.2511060Z
EVT-000003281,2026-01-24T13:40:56.2511100Z,SYS-0266,worker,auth,node-17,cpu_usage,48.24,%,INFO,2026-01-24T13:41:07.2511100Z
EVT-000003282,2026-01-27T01:11:22.2511130Z,SYS-0380,api,dispatcher,node-02,mem_usage,6789,MB,INFO,2026-01-27T01:11:33.2511130Z
EVT-000003283,2026-01-25T15:54:12.2511160Z,SYS-0322,db,dispatcher,node-44,queue_depth,539,count,INFO,2026-01-25T15:54:32.2511160Z
EVT-000003284,2026-01-24T20:59:57.2511190Z,SYS-0146,api,sync,node-07,queue_depth,1244,count,INFO,2026-01-24T21:00:07.2511190Z
EVT-000003285,2026-01-22T09:29:25.2511220Z,SYS-0309,api,ingest,node-02,cpu_usage,91.13,%,ERROR,2026-01-22T09:29:48.2511220Z
EVT-000003286,2026-01-23T05:29:15.2511250Z,SYS-0202,db,dispatcher,node-11,mem_usage,25153,MB,INFO,2026-01-23T05:29:16.2511250Z
EVT-000003287,2026-01-21T18:28:12.2511290Z,SYS-0291,cache,sync,node-43,cpu_usage,64.89,%,INFO,2026-01-21T18:28:24.2511290Z
EVT-000003288,2026-01-21T00:55:41.2511340Z,SYS-0116,worker,auth,node-02,cpu_usage,27.15,%,INFO,2026-01-21T00:55:56.2511340Z
EVT-000003289,2026-01-25T08:38:11.2511370Z,SYS-0354,worker,sync,node-14,queue_depth,4917,count,INFO,2026-01-25T08:38:31.2511370Z
EVT-000003290,2026-01-24T04:10:38.2511400Z,SYS-0486,api,sync,node-46,mem_usage,867,MB,INFO,2026-01-24T04:10:53.2511400Z
EVT-000003291,2026-01-26T02:55:46.2511440Z,SYS-0276,worker,ingest,node-27,latency_ms,697.2,ms,INFO,2026-01-26T02:56:14.2511440Z
EVT-000003292,2026-01-22T15:14:34.2511470Z,SYS-0129,api,dispatcher,node-38,latency_ms,987.1,ms,WARN,2026-01-22T15:14:38.2511470Z
EVT-000003293,2026-01-23T11:33:11.2511510Z,SYS-0366,worker,ingest,node-40,mem_usage,9642,MB,INFO,2026-01-23T11:33:28.2511510Z
EVT-000003294,2026-01-26T11:25:59.2511540Z,SYS-0352,db,dispatcher,node-05,cpu_usage,81.61,%,WARN,2026-01-26T11:26:05.2511540Z
EVT-000003295,2026-01-22T22:52:52.2511570Z,SYS-0462,db,sync,node-43,queue_depth,1693,count,INFO,2026-01-22T22:52:59.2511570Z
EVT-000003296,2026-01-21T18:54:11.2511600Z,SYS-0152,worker,auth,node-15,cpu_usage,50.06,%,INFO,2026-01-21T18:54:20.2511600Z
EVT-000003297,2026-01-26T01:19:20.2511650Z,SYS-0228,worker,auth,node-03,queue_depth,3160,count,INFO,2026-01-26T01:19:27.2511650Z
EVT-000003298,2026-01-21T20:24:12.2511680Z,SYS-0374,cache,dispatcher,node-13,queue_depth,319,count,INFO,2026-01-21T20:24:24.2511680Z
EVT-000003299,2026-01-23T23:41:40.2511720Z,SYS-0071,db,dispatcher,node-20,cpu_usage,75.65,%,WARN,2026-01-23T23:41:51.2511720Z
EVT-000003300,2026-01-24T06:05:04.2511750Z,SYS-0336,worker,sync,node-44,mem_usage,8338,MB,INFO,2026-01-24T06:05:10.2511750Z
EVT-000003301,2026-01-22T05:16:57.2511780Z,SYS-0444,db,ingest,node-43,queue_depth,288,count,INFO,2026-01-22T05:17:05.2511780Z
EVT-000003302,2026-01-22T08:16:37.2511810Z,SYS-0180,api,auth,node-37,queue_depth,1803,count,INFO,2026-01-22T08:16:44.2511810Z
